Referenz-BLEU;Phenom-BLEU;Delta;English Original;Input Phonemic Variant;Validation Reference;Reference Model Output;Phoneme Model Output;Phenom Manualy Translated into Standard German
0,080199229;0,098223595;-0,018024;in a 911 call , his voice only slightly shaky , college professor Shannon Lamb told police he had shot his girlfriend and officers needed to get over to their house .;ɪn ɐ nˈaɪnhˈʌndɹɪdən ɪlˈɛvən kˈɔːl hɪz vˈɔɪs ˈəʊnli slˈaɪtli ʃˈeɪki kˈɒlɪdʒ pɹəfˈɛsə ʃˈanən lˈam tˈəʊld pəlˈiːs hiː had ʃˈɒt hɪz ɡˈɜːlfɹɛnd and ˈɒfɪsəz nˈiːdɪd tə ɡɛt ˌəʊvə tə ðeə hˈaʊs;in einem Notruf erzählte Professor Shannon Lamb mit einer etwas zittrigen Stimme der Polizei dass er seine Freundin erschossen habe und dass die Beamten zu seinem Haus kommen müssten;in einem 911 Anruf seine Stimme nur leicht wackelig College @-@ Professor Shannon Lamb erzählte der Polizei er habe seine Freundin und Offiziere benötigt um in ihr Haus zu bekommen;ɪn ˌaɪnəm nˈɔønhˈʊndɜt ˈɛlf rˈuːfən zˌaɪnə ʃtˈɪmə nˈuːɾ ˈɛtvɑːs vˈakəlˌɪç kɔlˈeːɡə pɾoːfˈɛsoːɾ ʃˈanoːn lˈamp zˈɑːɡtə dɛɾ pˌoːliːtsˈaɪ ɛɾ hˌatə zˌaɪnə frˈɔøndɪn ɛɾʃˈɔsən ʊnt bəˈamtə bənˈøːtɪçt ʊm tsuː ˌiːrəm hˈaʊs tsuː ɡəlˈaŋən;in einem 911 rufen seine Stimme nur etwas wackelig College Professor Shannon Lamb sagte der Polizei er hate seine Freundin erschossen und Beamte benötigt um zu ihrem haus zu gelangen
0,190819392;0,080141043;0,110678;"lamb made a point to say his &quot; sweet dog &quot; was there alive and probably upset , and said the dead woman &apos;s family contacts could be found on her phone .";lˈam mˌeɪd ɐ pˈɔɪnt tə sˈeɪ hɪz and kwˈɒt swˈiːt dˈɒɡ and kwˈɒt wɒz ðeəɹ ɐlˈaɪv and pɹˈɒbəbli ʌpsˈɛt and sˈɛd ðə dˈɛd wˈʊmən and ɐpˈəʊz ˈɛs fˈamɪli kˈɒntakts kʊd biː fˈaʊnd ˌɒn hɜː fˈəʊn;"Lamb war es wichtig zu betonen dass sein &quot; süßer Hund &quot; aber noch lebe und wahrscheinlich aufgeregt sei und er sagte die Familienkontakte der toten Frau könnten auf dem Handy gefunden werden";"Lamm machte einen Punkt zu sagen sein &quot; süßer Hund &quot; war dort lebendig und wahrscheinlich verärgert und sagte die Familie der toten Frau Kontakte konnten auf ihrem Telefon gefunden werden";lˈamp mˈaxtə ˌaɪnən pˈʊŋkt tsuː zˈɑːɡən zaɪn ˈʊnt kvˈoːt zˈyːsən hˈʊnt ˈʊnt kvˈoːt vɑːɾ dˈɔɾt leːbˈɛndɪç ʊnt vɑːɾʃˈaɪnlɪç fɛɾˈɛɾɡɜt ʊnt zˈɑːɡtə diː famˈiːlɪə dɛɾ tˈoːtən frˈaʊ kɔntˈaktə ɡəfˈʊndən vˌɛɾdən aʊf ˌiːrəm tˌeːleːfˈoːn;"Lamb machte einen Punkt zu sagen sein &quot; süßen Hund &quot; war dort lebendig und wahrscheinlich verärgert und sagte die Familie der toten Frau Kontakte gefunden werden auf ihrem Telefon "
0,377615215;0,262173591;0,115442;"inside the home , officers found Amy Prentiss &apos; body and a hand @-@ written note scribbled on a white legal pad : &quot; I am so very sorry I wish I could take it back I loved Amy and she is the only woman who ever loved me , &quot; read the letter authorities say was signed by Lamb .";ɪnsˈaɪd ðə hˈəʊm ˈɒfɪsəz fˈaʊnd ˈeɪmi pɹˈɛntɪs and ɐpˈəʊz bˈɒdi and ɐ hˈand ˈatat ɹˈɪtən nˈəʊt skɹˈɪbəld ˌɒn ɐ wˈaɪt lˈiːɡəl pˈad and kwˈɒt aɪɐm sˌəʊ vˈɛɹi sˈɒɹi aɪ wˈɪʃ aɪ kʊd tˈeɪk ɪt bˈak aɪ lˈʌvd ˈeɪmi and ʃiː ɪz ðɪ ˈəʊnli wˈʊmən hˌuː ˈɛvə lˈʌvd mˌiː and kwˈɒt ɹˈiːd ðə lˈɛtəɹ ɐθˈɒɹɪtiz sˈeɪ wɒz sˈaɪnd baɪ lˈam;"innerhalb des Hauses fanden die Beamten die Leiche von Amy Prentiss und eine handgeschriebene Notiz die auf einen weißen Block gekritzelt war : &quot; mir tut es so leid ich wollte ich könnte es rückgängig machen ich liebte Amy und sie ist die einzige Frau die mich jemals liebte &quot; dies stand nach Angaben der Behörden in dem Brief und er war von Lamb unterzeichnet";"im Inneren des Hauses fanden Offiziere den Körper von Amy Prentiss und eine handgeschriebene Notiz die auf einem weißen Blatt geschrieben wurde : &quot; es tut mir sehr leid ich wünschte ich könnte es zurücknehmen ich liebte Amy und sie ist die einzige Frau die mich je geliebt hat &quot; lesen Sie den Brief Behörden sagen war von Lamb unterzeichnet";ɪm ˈɪnərən fˈandən diː ˌɔfiːtsˈiːrə ˈɑmiː pɾˈɛntiːkə ˈʊnt ˈɑpoːs kˈœɾpɜ ʊnt ˌaɪnə hˈantɡəʃrˌiːbənə nˈoːtiːts aʊf ˌaɪnəm vˈaɪsən rˈɛçtstɛkst ˈʊnt kvˈoːt ɛs tˈuːt miːɾ zˈeːɾ lˈaɪt ɪç vˈynʃtə ɪç kˈœntə ɛs tsuːrˈyknˌeːmən ɪç lˈiːptə ˈɑmiː ʊnt ziː ɪst diː ˈaɪntsɪɡə frˈaʊ diː mɪç jeː ɡəlˈiːpt ˈʊnt kvˈoːt lˈeːzən ziː deːn bɾˈiːf bəhˈœɾdən zˈɑːɡən vˌ??də fɔn lˈam ˌʊntɜtsˈaɪçnət;"im Inneren fanden die Offiziere Amy Prentike und Anys Körper und eine handgeschriebene Notiz auf einem weißen Rechtsteckst &quot; es tut mir sehr leid ich wünschte ich könnte es zurücknehmen ich liebte Amy und sie ist die einzige Frau die mich je geliebt &quot; lesen Sie den Brief Behörden sagen , w??de von Lamb unterzeichnet"
0,517748468;0,468312702;0,049436;"there was no indication that Lamb , who was teaching two online classes for Delta State University in Cleveland , Mississippi , had already traveled 300 miles to the school &apos;s campus , where police believe he shot and killed a well @-@ liked history professor , Ethan Schmidt , in the doorway to his office .";ðeəwˌɒz nˈəʊ ˌɪndɪkˈeɪʃən ðat lˈam hˌuː wɒz tˈiːtʃɪŋ tˈuː ˈɒnlaɪn klˈasɪz fɔː dˈɛltə stˈeɪt jˌuːnɪvˈɜːsɪti ɪn klˈiːvlənd mˌɪsɪsˈɪpi had ɔːlɹˌɛdi tɹˈavəld θɹˈiːhˈʌndɹɪd mˈaɪlz tə ðə skˈuːl and ɐpˈəʊz ˈɛs kˈampəs wˌeə pəlˈiːs bɪlˈiːv hiː ʃˈɒt and kˈɪld ɐ wˈɛl ˈatat lˈaɪkt hˈɪstəɹi pɹəfˈɛsə ˈiːθən ʃmˈɪt ɪnðə dˈɔːweɪ tə hɪz ˈɒfɪs;es gab keinen Hinweis darauf dass Lamb der in zwei Online @-@ Kursen für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zu dem Schulgelände gereist war wo er nach Angaben der Polizei einen beliebten Geschichtsprofessor Ethan Schmidt an der Tür zu seinem Büro erschossen und getötet hat;es gab keinen Hinweis darauf dass Lamb der zwei Online @-@ Kurse für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zum Campus der Schule gereist war wo die Polizei glaubt dass er einen beliebten Geschichtsprofessor Ethan Schmidt vor seiner Haustür erschossen und getötet hat;ɛs ɡˈɑːp kˈaɪnən hˈɪnvaɪs dɑːrˈaʊf das lˈamp dɛɾ tsvˈaɪ ˈɒnlaɪn ˈɛtˈɛt klˈasən fyːɾ diː dˈɛltɑː stˈeɪt jˌuːnɪvˈɜːsɪti ɪn klˈeːvəlˌant mˌɪsɪsˈɪpiː ˌʊntɜrˈɪçtətə bərˈaɪts dɾˈaɪhˈʊndɜt mˈaɪlən tsʊm kˈampʊs dɛɾ ʃˈuːlə rˈaɪstə vˌoː diː pˌoːliːtsˈaɪ ɡlˈaʊpt ɛɾ ɛɾʃˈɔs ʊnt tˈøːtətə ˌaɪnə zˈeːɾ bəlˈiːptə ɡəʃˈɪçtə pɾoːfˈɛsoːɾ eːtˈɑːn ʃmˈɪt ɪn dɛɾ tˈyːɾ tsuː zˌaɪnəm bˈyːroː;es gab keinen Hinweis darauf dass Lamb der zwei Online @-@ Klassen für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zum Campus der Schule reiste wo die Polizei glaubt er erschoss und tötete Any sehr beliebte Geschichte Professor Ethan Schmidt in der Tür zu seinem Büro
0,190232496;0,11656748;0,073665;Delta State University police chief Lynn Buford said university officials heard about the shooting at 10 : 18 a.m.;dˈɛltə stˈeɪt jˌuːnɪvˈɜːsɪti pəlˈiːs tʃˈiːf lˈɪn bjˈuːfəd sˈɛd jˌuːnɪvˈɜːsɪti əfˈɪʃəlz hˈɜːd ɐbˌaʊt ðə ʃˈuːtɪŋ at tˈɛn ˈeɪtiːn ˌeɪˈɛm;Delta State University Polizeichef Lynn Buford sagte dass Universitäts @-@ Mitarbeiter das Schießen um 10 : 18 Uhr gehört haben;der Polizeichef der Delta State University Lynn Buford sagte dass Universitätsbeamte von den Dreharbeiten um 10.18 Uhr hörten;dɛɾ pˈoːliːtsˌaɪʃɛf dɛɾ dˈɛltɑː stˈeɪt jˌuːnɪvˈɜːsɪti lˈyn bˈuːfɔɾt zˈɑːɡtə ʊm tsˈeːn pʊŋkt ˈaxtseːn ˈuːɾ diː fɛɾtɾˈeːtɜ dɛɾ ˌuːniːvˌɛɾziːtˈɛːt hˈœɾtən diː ʃˈysə;der Polizeichef der Delta State University Lynn Buford sagte um 10.18 Uhr die Vertreter der Universität hörten die Schüsse
0,087668287;0,077057207;0,010611;he said Lamb made the fateful 911 call sometime after that .;hiː sˈɛd lˈam mˌeɪd ðə fˈeɪtfəl nˈaɪnhˈʌndɹɪdən ɪlˈɛvən kˈɔːl sˈʌmtaɪm ˈaftə ðˈat;er sagte dass Lamb den verhängnisvollen Notruf irgendwann danach gemacht hat;er sagte Lamb den schicksalhaften 911 Call irgendwann danach;ɛɾ zˈɑːɡtə lˈam mˈaxtə diː ʃˈɪkzalhˌaftən nˈɔønhˈʊndɜt ˈɛlf rˈuːfən ˈɪɾɡəndvˌan danˈax;er sagte Lamb machte die schicksalhaften 911 Rufen irgendwann danach
0,318208468;0,448760518;-0,130552;by the end of the day , there would be one more death : lamb took his own life as police closed in on him .;baɪ ðɪ ˈɛnd ɒvðə dˈeɪ ðeə wʊd biː wˈɒn mˈɔː dˈɛθ lˈam tˈʊk hɪz ˈəʊn lˈaɪf az pəlˈiːs klˈəʊzd ɪn ˈɒn hˌɪm;bis zum Ende des Tages gab es einen weiteren Tod : Lamm nahm sich das Leben als die Polizei ihn einkesselte;am Ende des Tages würde es noch einen weiteren Tod geben : Lamm nahm sein eigenes Leben als die Polizei ihn einsperrte;am ˈɛndə dɛs tˈɑːɡəs ɡˈɑːp ɛs ˌaɪnən vˈaɪtərən tˈoːt lˈam nˈɑːm zaɪn ˈaɪɡənəs lˈeːbən als diː pˌoːliːtsˈaɪ aʊf iːm ɡəʃlˈɔsən;am Ende des Tages gab es einen weiteren Tod Lamb nam sein eigenes Leben als die Polizei auf ihm gestoßen
0,233970633;0,190914036;0,043057;a day after the school shooting forced students and faculty to hide behind locked doors , authorities were still trying to piece together what motivated Lamb .;ɐ dˈeɪ ˈaftə ðə skˈuːl ʃˈuːtɪŋ fˈɔːst stjˈuːdənts and fˈakəlti tə hˈaɪd bɪhˌaɪnd lˈɒkt dˈɔːz ɐθˈɒɹɪtiz wɜː stˈɪl tɹˈaɪɪŋ tə pˈiːs təɡˌɛðə wɒt mˈəʊtɪvˌeɪtɪd lˈam;einen Tag nach der Schießerei in der Universität die Studenten und Dozenten dazu zwang sich hinter verschlossenen Türen zu verstecken versuchen die Behörden immer noch sich ein Bild davon zu verschaffen was Lamb motivierte;einen Tag nachdem die Schule Schüler und Dozenten gezwungen hatte sich hinter verschlossenen Türen zu verstecken versuchten die Behörden immer noch das motivierte Lamm zusammenzufügen;aɪn tˈɑːɡ nɑːx deːm ʃˈoːsən dɛɾ ʃˈuːlə tsvˈaŋən ʃtuːdˈɛntən ʊnt fˌɑkʊltˈɛːt zɪç hˈɪntɜ fɛɾʃlˈɔsənən tˈyːrən tsuː fɛɾʃtˈɛkən bəhˈœɾdən fɛɾzˈuːxtən ˈɪmɜ nɔx ɡəmˈaɪnzɑːm tsuː frˈiːdən vˈas mˌoːtiːvˈiːɾtə lˈam;einen Tag nachdem Schossen der Schule zwangen Studenten und Fakultät sich hinter verschlossenen Türen zu verstecken Behörden versuchten immer noch gemeinsam zu frieden was motivierte Lamb
0,318022828;0,415322524;-0,097300;the details released by investigators at both ends of the state as well as students and staff who knew him helped paint a picture of a talented but possibly troubled teacher .;ðə dˈiːteɪlz ɹɪlˈiːst baɪ ɪnvˈɛstɪɡˌeɪtəz at bˈəʊθ ˈɛndz ɒvðə stˈeɪt az wˈɛl az stjˈuːdənts and stˈaf hˌuː njˈuː hˌɪm hˈɛlpt pˈeɪnt ɐ pˈɪktʃəɹ əvə tˈaləntɪd bˌʌt pˈɒsɪbli tɹˈʌbəld tˈiːtʃə;die von den Ermittlern an beiden Enden des Staates veröffentlichten Details wie auch das was Studenten und Mitarbeiter die ihn kannten aussagten half dabei ein Bild von einem talentierten aber möglicherweise schwierigen Lehrer zu zeichnen;die von den Ermittlern an beiden Enden des Staates sowie von Studenten und Mitarbeitern die ihn kannten freigegebenen Details halfen ein Bild eines begabten aber möglicherweise unruhigen Lehrers zu malen;diː deːtˈaɪs fɔn deːn ɛɾmˈɪtlɜn an bˈaɪdən ˈɛndən dɛs ʃtˈɑːtəs zoːvˈiː ʃtuːdˈɛntən ʊnt mˈɪtˌaɾbaɪtɜ diː iːn kˈantən fɛɾˈœfəntlɪçt hˈalf aɪn bˈɪlt fɔn ˌaɪnəm talˈɛntˈiːɾtən ˌɑːbɜ mˈœɡlɪçɜvˌaɪzə ˈʊnrˌuːɪɡən lˈeːrɜ;die Täter von den ermitlern an beiden Enden des Staates sowie Studenten und Mitarbeiter die ihn kannten feröffentlicht half ein Bild von einem talentierten aber möglicherweise unruhigen Lehrer
0,0945223;0,093994346;0,000528;students said they looked forward to his class .;stjˈuːdənts sˈɛd ðeɪ lˈʊkt fˈɔːwəd tə hɪz klˈas;Studenten sagten dass sie sich auf seinen Unterricht freuten;Studenten sagten sie würden sich auf seine Klasse freuen;ʃtuːdˈɛntən zˈɑːɡtən ziː frˈɔøən zɪç aʊf zˌaɪnə klˈasə;Studenten sagten sie freuen sich auf seine Klasse
0,613016641;0,759307249;-0,146291;police in Gautier , where Prentiss died , said he had no history of violence or criminal record .;pəlˈiːs ɪn ɡˈɔːtiə wˌeə pɹˈɛntɪs dˈaɪd sˈɛd hiː had nˈəʊ hˈɪstəɹi ɒv vˈaɪələns ɔː kɹˈɪmɪnəl ɹˈɛkɔːd;die Polizei in Gautier wo Prentiss starb sagte er habe keine Geschichte der Gewalt oder eine kriminelle Vorgeschichte;Polizei in Gautier wo Prentiss starb sagte er habe keine Geschichte von Gewalt oder Strafregister;diː pˌoːliːtsˈaɪ ɪn ɡaʊtˈiːɾ vˌoː pɾˈɛntiːkə ʃtˈaɾp zˈɑːɡtə ɛɾ hɑːbə kˈaɪnə ɡəʃˈɪçtə dɛɾ ɡəvˈalt ˌoːdɜ dɛɾ kɾˌiːmiːnˈɑːliːtˈɛːt;Die Polizei in Gautier wo Prentiss starb sagte er habe keine Geschichte der Gewalt oder der Kriminalität
0,60133317;0,526640388;0,074693;"Schmidt himself had included Lamb in a book he wrote where he acknowledged the &quot; wonderful people &quot; he shared his academic life with .";ʃmˈɪt hɪmsˈɛlf had ɪŋklˈuːdɪd lˈam ɪn ɐ bˈʊk hiː ɹˈəʊt wˌeə hiː ɐknˈɒlɪdʒd ðə and kwˈɒt wˈʌndəfəl pˈiːpəl and kwˈɒt hiː ʃˈeəd hɪz ˌakədˈɛmɪk lˈaɪf wɪð;"Schmidt selbst hatte Lamb in einem von ihm geschriebenen Buch erwähnt in dem er die &quot; wunderbaren Menschen &quot; erwähnte mit denen er sein akademisches Leben teilte";"Schmidt selbst hatte Lamb in ein Buch aufgenommen in dem er die &quot; wunderbaren Menschen &quot; anerkannte mit denen er sein akademisches Leben teilte";ʃmˈɪt zˈɛlpst hˌatə lˈam ɪn aɪn bˈuːx ˈaʊfɡənˌɔmən das ɛɾ ʃrˈiːp ɪn deːm ɛɾ diː ˈʊnt kvˈoːt vˈʊndɜbˌɑːrən mˈɛnʃən ˈʊnt kvˈoːt ˈanɛɾkˌantə mɪt deːnən ɛɾ zaɪn ˌɑkadˈeːmɪʃəs lˈeːbən tˈaɪltə;"Schmidt selbst hatte Lamb in ein Buch aufgenommen das er schrieb in dem er die &quot; wunderbaren Menschen &quot; anerkannte mit denen er sein akademisches Leben teilte"
